5912021,Haroldo Cathedral,PSD,Roraima (RR),Sim
5912021,Hiran Gonçalves,PP,Roraima (RR),Não
5912021,Joenia Wapichana,Rede,Roraima (RR),Sim
5912021,Nicoletti,PSL,Roraima (RR),Não
5912021,Ottaci Nascimento,Solidaried,Roraima (RR),Não
5912021,Acácio Favacho,PROS,Amapá (AP),Não
5912021,Aline Gurgel,Republican,Amapá (AP),Não
5912021,André Abdon,PP,Amapá (AP),Não
5912021,Camilo Capiberibe,PSB,Amapá (AP),Sim
5912021,DaLua do Rota,PSC,Amapá (AP),Não
5912021,Leda Sadala,Avante,Amapá (AP),Sim
5912021,Professora Marcivania,PCdoB,Amapá (AP),Sim
5912021,Vinicius Gurgel,PL,Amapá (AP),Não
5912021,Airton Faleiro,PT,Pará (PA),Sim
5912021,Beto Faro,PT,Pará (PA),Sim
5912021,Cássio Andrade,PSB,Pará (PA),Sim
5912021,Celso Sabino,PSDB,Pará (PA),Não
5912021,Cristiano Vale,PL,Pará (PA),Não
5912021,Delegado Éder Mauro,PSD,Pará (PA),Não
5912021,Eduardo Costa,PTB,Pará (PA),Não
5912021,Elcione Barbalho,MDB,Pará (PA),Sim
5912021,Joaquim Passarinho,PSD,Pará (PA),Não
5912021,Júnior Ferrari,PSD,Pará (PA),Não
5912021,Olival Marques,DEM,Pará (PA),Não
5912021,Vivi Reis,PSOL,Pará (PA),Sim
5912021,Bosco Saraiva,Solidaried,Amazonas (AM),Não
5912021,Capitão Alberto Neto,Republican,Amazonas (AM),Não
5912021,José Ricardo,PT,Amazonas (AM),Sim
5912021,Sidney Leite,PSD,Amazonas (AM),Sim
5912021,Coronel Chrisóstomo,PSL,Rondonia (RO),Não
5912021,Expedito Netto,PSD,Rondonia (RO),Não
5912021,Jaqueline Cassol,PP,Rondonia (RO),Sim
5912021,Silvia Cristina,PDT,Rondonia (RO),Sim
5912021,Alan Rick,DEM,Acre (AC),Sim
5912021,Dra. Vanda Milani,Solidaried,Acre (AC),Não
5912021,Flaviano Melo,MDB,Acre (AC),Não
5912021,Jéssica Sales,MDB,Acre (AC),Não
5912021,Mara Rocha,PSDB,Acre (AC),Sim
5912021,Perpétua Almeida,PCdoB,Acre (AC),Sim
5912021,Carlos Henrique Gaguim,DEM,Tocantins (TO),Não
5912021,Célio Moura,PT,Tocantins (TO),Sim
5912021,Dulce Miranda,MDB,Tocantins (TO),Não
5912021,Eli Borges,Solidaried,Tocantins (TO),Sim
5912021,Osires Damaso,PSC,Tocantins (TO),Não
5912021,Professora Dorinha Seabra Rezende,DEM,Tocantins (TO),Sim
5912021,Tiago Dimas,Solidaried,Tocantins (TO),Não
5912021,Vicentinho Júnior,PL,Tocantins (TO),Não
5912021,Aluisio Mendes,PSC,Maranhão (MA),Não
5912021,Cleber Verde,Republican,Maranhão (MA),Não
5912021,Edilázio Júnior,PSD,Maranhão (MA),Não
5912021,Gastão Vieira,PROS,Maranhão (MA),Sim
5912021,Hildo Rocha,MDB,Maranhão (MA),Sim
5912021,Josivaldo JP,Podemos,Maranhão (MA),Não
5912021,Junior Lourenço,PL,Maranhão (MA),Não
5912021,Juscelino Filho,DEM,Maranhão (MA),Não
5912021,Marreca Filho,Patriota,Maranhão (MA),Não
5912021,Pastor Gil,PL,Maranhão (MA),Sim
5912021,Pedro Lucas Fernandes,PTB,Maranhão (MA),Não
5912021,Rubens Pereira Júnior,PCdoB,Maranhão (MA),Sim
5912021,Zé Carlos,PT,Maranhão (MA),Sim
5912021,André Figueiredo,PDT,Ceará (CE),Sim
5912021,Aníbal Gomes,DEM,Ceará (CE),Não
5912021,Célio Studart,PV,Ceará (CE),Sim
5912021,Eduardo Bismarck,PDT,Ceará (CE),Sim
5912021,Genecias Noronha,Solidaried,Ceará (CE),Não
5912021,Heitor Freire,PSL,Ceará (CE),Não
5912021,Idilvan Alencar,PDT,Ceará (CE),Sim
5912021,José Airton Félix Cirilo,PT,Ceará (CE),Sim
5912021,José Guimarães,PT,Ceará (CE),Sim
5912021,Leônidas Cristino,PDT,Ceará (CE),Sim
5912021,Luizianne Lins,PT,Ceará (CE),Sim
5912021,Odorico Monteiro,PSB,Ceará (CE),Sim
5912021,Pedro Augusto Bezerra,PTB,Ceará (CE),Sim
5912021,Totonho Lopes,PDT,Ceará (CE),Abstenção
5912021,Átila Lira,PP,Piauí (PI),Não
5912021,Flávio Nogueira,PDT,Piauí (PI),Não
5912021,Júlio Cesar,PSD,Piauí (PI),Não
5912021,Margarete Coelho,PP,Piauí (PI),Não
5912021,Merlong Solano,PT,Piauí (PI),Sim
5912021,Rejane Dias,PT,Piauí (PI),Sim
5912021,Benes Leocádio,Republican,Rio Grande do Norte (RN),Não
5912021,Beto Rosado,PP,Rio Grande do Norte (RN),Não
5912021,Carla Dickson,PROS,Rio Grande do Norte (RN),Não
5912021,General Girão,PSL,Rio Grande do Norte (RN),Não
5912021,João Maia,PL,Rio Grande do Norte (RN),Não
5912021,Natália Bonavides,PT,Rio Grande do Norte (RN),Sim
5912021,Rafael Motta,PSB,Rio Grande do Norte (RN),Sim
5912021,Walter Alves,MDB,Rio Grande do Norte (RN),Não
5912021,Aguinaldo Ribeiro,PP,Paraíba (PB),Não
5912021,Damião Feliciano,PDT,Paraíba (PB),Sim
5912021,Edna Henrique,PSDB,Paraíba (PB),Sim
5912021,Frei Anastacio Ribeiro,PT,Paraíba (PB),Sim
5912021,Gervásio Maia,PSB,Paraíba (PB),Sim
5912021,Hugo Motta,Republican,Paraíba (PB),Não
